cliente,estado,fechaHora,fecha,idMesa,discoteca
Alejandro Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-03,2,Malegria
Rodrigo Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-03,4,Malegria
Rodrigo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-02,7,Malegria
Maria Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-07,9,Malegria
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-02,10,Malegria
Pedro Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-02,11,Malegria
Pedro Martines,Confirmado,2023-01-01 00:00:00,2023-01-05,11,Malegria
Carla Torres,Confirmado,2023-01-01 00:00:00,2023-01-03,12,Malegria
Juan Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-05,12,Malegria
Enrique Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-02,13,Malegria
Facundo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-05,13,Malegria
Bruno Diaz,Confirmado,2023-01-01 00:00:00,2023-01-01,15,Malegria
Facundo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-03,15,Malegria
Bruno Martines,Confirmado,2023-01-01 00:00:00,2023-01-04,15,Malegria
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-05,15,Malegria
Carla Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-07,15,Malegria
Pedro Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-03,17,Pacha
Maria Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-04,17,Pacha
Maria Castillo,Confirmado,2023-01-01 00:00:00,2023-01-01,20,Pacha
Tatiana Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-02,21,Pacha
Rodrigo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-04,21,Pacha
Pedro Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-05,21,Pacha
Bruno Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-02,25,Pacha
Bruno Martines,Confirmado,2023-01-01 00:00:00,2023-01-04,25,Pacha
Alejandro Lopez,Confirmado,2023-01-01 00:00:00,2023-01-07,25,Pacha
Rodrigo Diaz,Confirmado,2023-01-01 00:00:00,2023-01-03,26,Pacha
Rodrigo Lopez,Confirmado,2023-01-01 00:00:00,2023-01-05,26,Pacha
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-07,26,Pacha
Facundo Perez,Confirmado,2023-01-01 00:00:00,2023-01-06,27,Pacha
Rodrigo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-02,28,Pacha
Rodrigo Perez,Cancelado,2023-01-01 00:00:00,2023-01-05,28,Pacha
Carla Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-06,28,Pacha
Carla Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-02,30,Pacha
Maria Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,30,Pacha
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,31,Pacha
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-07,31,Pacha
Maria Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-02,32,Pacha
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,58,Zouk Boulevard
Rodrigo Martines,Confirmado,2023-01-01 00:00:00,2023-01-04,59,Zouk Boulevard
Fausto Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-04,60,Zouk Boulevard
Facundo Perez,Confirmado,2023-01-01 00:00:00,2023-01-03,65,Zouk Boulevard
Juan Diaz,Confirmado,2023-01-01 00:00:00,2023-01-01,66,Zouk Boulevard
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-02,68,Zouk Boulevard
Rodrigo Lopez,Confirmado,2023-01-01 00:00:00,2023-01-03,69,Zouk Boulevard
