cliente,estado,fechaHora,fecha,idMesa,numMesa,discoteca
Pedro Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-03,17,2,Pacha
Maria Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-04,17,2,Pacha
Maria Castillo,Confirmado,2023-01-01 00:00:00,2023-01-01,20,5,Pacha
Tatiana Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-02,21,6,Pacha
Rodrigo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-04,21,6,Pacha
Pedro Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-05,21,6,Pacha
Bruno Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-02,25,10,Pacha
Bruno Martines,Confirmado,2023-01-01 00:00:00,2023-01-04,25,10,Pacha
Alejandro Lopez,Confirmado,2023-01-01 00:00:00,2023-01-07,25,10,Pacha
Rodrigo Diaz,Confirmado,2023-01-01 00:00:00,2023-01-03,26,11,Pacha
Rodrigo Lopez,Confirmado,2023-01-01 00:00:00,2023-01-05,26,11,Pacha
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-07,26,11,Pacha
Facundo Perez,Confirmado,2023-01-01 00:00:00,2023-01-06,27,12,Pacha
Rodrigo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-02,28,13,Pacha
Rodrigo Perez,Cancelado,2023-01-01 00:00:00,2023-01-05,28,13,Pacha
Carla Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-06,28,13,Pacha
Carla Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-02,30,15,Pacha
Maria Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,30,15,Pacha
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,31,16,Pacha
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-07,31,16,Pacha
Maria Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-02,32,17,Pacha
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,58,1,Zouk Boulevard
Rodrigo Martines,Confirmado,2023-01-01 00:00:00,2023-01-04,59,2,Zouk Boulevard
Fausto Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-04,60,3,Zouk Boulevard
Facundo Perez,Confirmado,2023-01-01 00:00:00,2023-01-03,65,8,Zouk Boulevard
Juan Diaz,Confirmado,2023-01-01 00:00:00,2023-01-01,66,9,Zouk Boulevard
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-02,68,11,Zouk Boulevard
Rodrigo Lopez,Confirmado,2023-01-01 00:00:00,2023-01-03,69,12,Zouk Boulevard
Maria Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-01,70,13,Zouk Boulevard
Alejandro Torres,Confirmado,2023-01-01 00:00:00,2023-01-03,70,13,Zouk Boulevard
Enrique Diaz,Confirmado,2023-01-01 00:00:00,2023-01-05,70,13,Zouk Boulevard
Carla Diaz,Cancelado,2023-01-01 00:00:00,2023-01-06,70,13,Zouk Boulevard
Carla Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-01,73,16,Zouk Boulevard
Facundo Gonzales,Confirmado,2023-01-01 00:00:00,2023-01-02,74,17,Zouk Boulevard
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-02,75,18,Zouk Boulevard
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-03,76,19,Zouk Boulevard
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-04,77,20,Zouk Boulevard
Enrique Perez,Confirmado,2023-01-01 00:00:00,2023-01-02,104,3,Forum
Rodrigo Lopez,Confirmado,2023-01-01 00:00:00,2023-01-05,104,3,Forum
Maria Castillo,Confirmado,2023-01-01 00:00:00,2023-01-06,104,3,Forum
Juan Garcia,Confirmado,2023-01-01 00:00:00,2023-01-05,105,4,Forum
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-06,105,4,Forum
Belen Castillo,Confirmado,2023-01-01 00:00:00,2023-01-05,106,5,Forum
Maria Jimenez,Confirmado,2023-01-01 00:00:00,2023-01-03,107,6,Forum
Enrique Diaz,Confirmado,2023-01-01 00:00:00,2023-01-06,107,6,Forum
Juan Garcia,Confirmado,2023-01-01 00:00:00,2023-01-06,108,7,Forum
Pedro Garcia,Confirmado,2023-01-01 00:00:00,2023-01-01,109,8,Forum
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-05,109,8,Forum
Rodrigo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-02,110,9,Forum
Tatiana Martines,Confirmado,2023-01-01 00:00:00,2023-01-02,111,10,Forum
Bruno Alonso,Confirmado,2023-01-01 00:00:00,2023-01-03,111,10,Forum
Belen Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-07,111,10,Forum
Enrique Diaz,Confirmado,2023-01-01 00:00:00,2023-01-06,112,11,Forum
Bruno Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-03,113,12,Forum
Alejandro Lopez,Confirmado,2023-01-01 00:00:00,2023-01-05,113,12,Forum
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-07,113,12,Forum
Carla Diaz,Confirmado,2023-01-01 00:00:00,2023-01-02,114,13,Forum
Bruno Martines,Confirmado,2023-01-01 00:00:00,2023-01-02,115,14,Forum
Rodrigo Perez,Confirmado,2023-01-01 00:00:00,2023-01-04,115,14,Forum
Tatiana Martines,Confirmado,2023-01-01 00:00:00,2023-01-01,116,15,Forum
Julio Perez,Confirmado,2023-01-01 00:00:00,2023-01-07,116,15,Forum
Bruno Alonso,Confirmado,2023-01-01 00:00:00,2023-01-03,118,17,Forum
Rodrigo Fernandez,Confirmado,2023-01-01 00:00:00,2023-01-05,118,17,Forum
Tatiana Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-02,121,20,Forum
Julio Garcia,Confirmado,2023-01-01 00:00:00,2023-01-06,121,20,Forum
Carla Diaz,Cancelado,2023-01-01 00:00:00,2023-01-04,122,21,Forum
Rodrigo Pedregal,Confirmado,2023-01-01 00:00:00,2023-01-02,124,23,Forum
Enrique Garcia,Confirmado,2023-01-01 00:00:00,2023-01-03,125,24,Forum
Facundo Sanchez,Confirmado,2023-01-01 00:00:00,2023-01-05,126,25,Forum
Maria Lopez,Confirmado,2023-01-01 00:00:00,2023-01-07,126,25,Forum
Rodrigo Diaz,Cancelado,2023-01-01 00:00:00,2023-01-03,127,26,Forum
Juan Garcia,Confirmado,2023-01-01 00:00:00,2023-01-07,128,27,Forum
Facundo Gonzales,Confirmado,2023-01-02 00:00:00,2023-01-06,16,1,Pacha
Pedro Jimenez,Confirmado,2023-01-02 00:00:00,2023-01-05,17,2,Pacha
Maria Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-04,19,4,Pacha
Juan Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-03,20,5,Pacha
Carlos Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-04,20,5,Pacha
Rodrigo Alonso,Confirmado,2023-01-02 00:00:00,2023-01-03,27,12,Pacha
Juan Fernandez,Confirmado,2023-01-02 00:00:00,2023-01-04,27,12,Pacha
Alejandro Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-03,29,14,Pacha
Rodrigo Garcia,Confirmado,2023-01-02 00:00:00,2023-01-04,29,14,Pacha
Carla Pedregal,Confirmado,2023-01-02 00:00:00,2023-01-05,29,14,Pacha
Pedro Sanchez,Confirmado,2023-01-02 00:00:00,2023-01-03,30,15,Pacha
Maria Castillo,Confirmado,2023-01-02 00:00:00,2023-01-05,30,15,Pacha
Carla Alonso,Confirmado,2023-01-02 00:00:00,2023-01-05,31,16,Pacha
Enrique Perez,Confirmado,2023-01-02 00:00:00,2023-01-03,32,17,Pacha
